Brand,Motor,Weight g,KV,Prop,T,Data Batt S,V,A,Thrust g,Efficiency,W,RPM,Min Prop,Max Prop,Stator Diameter,Stator height,Data P size,Data P pitch,Prop area,Stator Vol,Stator Volume/Prop Area ratio
Flashobby,A2807,56,1300,GF7042,100.00%,6,23.86,40.03,1836,1.9,955.1,19797,5,7,28,7,7,4.2,38.48,4310.27,112
Flashobby,A2807,56,1500,GF7035,40.00%,6,24.66,12.01,914,3.1,296.2,14100,5,7,28,7,7,3.5,38.48,4310.27,112
Flashobby,A2807,56,1500,GF7035,50.00%,6,24.54,16.24,1147,2.9,398.5,15699,5,7,28,7,7,3.5,38.48,4310.27,112
Flashobby,A2807,56,1500,GF7035,60.00%,6,24.42,20.55,1346,2.7,501.8,16989,5,7,28,7,7,3.5,38.48,4310.27,112
Flashobby,A2807,56,1500,GF7035,70.00%,6,24.26,26.14,1585,2.5,634.2,18352,5,7,28,7,7,3.5,38.48,4310.27,112
Flashobby,A2807,56,1500,GF7035,80.00%,6,24.04,33.57,1886,2.3,807,19924,5,7,28,7,7,3.5,38.48,4310.27,112
Flashobby,A2807,56,1500,GF7035,90.00%,6,23.82,41.48,2140,2.2,988.1,21280,5,7,28,7,7,3.5,38.48,4310.27,112
Flashobby,A2807,56,1500,GF7035,100.00%,6,23.69,45.79,2239,2.1,1084.8,21752,5,7,28,7,7,3.5,38.48,4310.27,112
Flashobby,A2807,56,1500,GF7040,40.00%,6,24.67,11.7,878,3,288.6,14765,5,7,28,7,7,4,38.48,4310.27,112
Flashobby,A2807,56,1500,GF7040,50.00%,6,24.55,15.93,1090,2.8,391.1,16272,5,7,28,7,7,4,38.48,4310.27,112
Flashobby,A2807,56,1500,GF7040,60.00%,6,24.44,19.93,1287,2.6,487.1,17394,5,7,28,7,7,4,38.48,4310.27,112
Flashobby,A2807,56,1500,GF7040,70.00%,6,24.29,25.41,1533,2.5,617.2,18781,5,7,28,7,7,4,38.48,4310.27,112
Flashobby,A2807,56,1500,GF7040,80.00%,6,24.08,32.72,1840,2.3,787.9,20159,5,7,28,7,7,4,38.48,4310.27,112
Flashobby,A2807,56,1500,GF7040,90.00%,6,23.82,41.43,2098,2.1,986.9,21469,5,7,28,7,7,4,38.48,4310.27,112
Flashobby,A2807,56,1500,GF7040,100.00%,6,23.68,46.4,2199,2,1098.8,22084,5,7,28,7,7,4,38.48,4310.27,112
Flashobby,A2807,56,1500,GF7042,40.00%,6,24.64,12.34,908,3,304.1,13729,5,7,28,7,7,4.2,38.48,4310.27,112
Flashobby,A2807,56,1500,GF7042,50.00%,6,24.52,16.91,1126,2.7,414.6,15220,5,7,28,7,7,4.2,38.48,4310.27,112
Flashobby,A2807,56,1500,GF7042,60.00%,6,24.38,21.61,1318,2.5,526.9,16366,5,7,28,7,7,4.2,38.48,4310.27,112
Flashobby,A2807,56,1500,GF7042,70.00%,6,24.21,27.65,1555,2.3,669.4,17924,5,7,28,7,7,4.2,38.48,4310.27,112
Flashobby,A2807,56,1500,GF7042,80.00%,6,23.98,35.61,1792,2.1,853.9,19220,5,7,28,7,7,4.2,38.48,4310.27,112
Flashobby,A2807,56,1500,GF7042,90.00%,6,23.73,44.71,1891,1.8,1061,20099,5,7,28,7,7,4.2,38.48,4310.27,112
Flashobby,A2807,56,1500,GF7042,100.00%,6,23.59,49.34,1938,1.7,1163.9,20320,5,7,28,7,7,4.2,38.48,4310.27,112
Flashobby,A2807,56,1800,GF7035,40.00%,4,16.5,11.95,683,3.5,197.2,12275,5,7,28,7,7,3.5,38.48,4310.27,112
Flashobby,A2807,56,1800,GF7035,50.00%,4,16.4,15.52,835,3.3,254.5,13516,5,7,28,7,7,3.5,38.48,4310.27,112
